project_name,queue_position,fuel_primary,fuel_secondary,fuel_tertiary,net_mw,county,state,utility,pto_study_region,poi_station_or_line,application_status,status,technology,is_withdrawn,is_completed,is_active
SAND HILL C,1363.0,Wind Turbine,,,80.8,ALAMEDA,CA,PGAE,Northern,Delta Switching Yard-Tesla 230 kV Line,ACTIVE,active,wind,0,0,1
GONZAGA WIND FARM,1378.0,Wind Turbine,,,76.35,MERCED,CA,PGAE,Fresno,Los Banos 70 kV,ACTIVE,active,wind,0,0,1
HEARTLAND 1,1379.0,Solar,Battery,,150.0,FRESNO,CA,PGAE,Fresno,Tranquility 230 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
HEARTLAND 2,1380.0,Solar,Battery,,150.0,FRESNO,CA,PGAE,Fresno,Tranquility 230 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
LAS CAMAS 1,1382.0,Solar,Battery,,100.0,MERCED,CA,PGAE,Fresno,Los Banos 230 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
REDUX SOLAR,1389.0,Solar,Battery,,125.0,FRESNO,CA,PGAE,Fresno,Gates 230 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
SONRISA,1391.0,Solar,Battery,,200.0,FRESNO,CA,PGAE,Fresno,Tranquility 230 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
DRIFTWOOD STELLA,1394.0,Solar,Battery,,200.0,KERN,CA,PGAE,Kern,Midway 115 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
SANDRINI SOL 1,1397.0,Solar,Battery,,100.0,KERN,CA,PGAE,Kern,Wheeler Ridge 70 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
ATLAS COMPLEX,1402.0,Battery,Solar,,3200.0,LA PAZ,AZ,DCRT,Eastern,Delaney-Colorado River 500 kV Line,ACTIVE,active,hybrid_solar_storage,0,0,1
ATHOS POWER PLANT,1405.0,Solar,Battery,,450.0,RIVERSIDE,CA,SCE,Eastern,Red Bluff Substation 230kV,ACTIVE,active,hybrid_solar_storage,0,0,1
BALDY MESA,1413.0,Battery,Solar,,100.0,SAN BERNARDINO,CA,SCE,NOL,Roadway Substation 115kV bus,ACTIVE,active,hybrid_solar_storage,0,0,1
CAMINO SOLAR,1419.0,Solar,Battery,,54.28,KERN,CA,SCE,Northern,Whirlwind Substation 230kV,ACTIVE,active,hybrid_solar_storage,0,0,1
MOUNT LAGUNA WIND 2,1429.0,Wind Turbine,,,400.0,SAN DIEGO,CA,SDGE,SDGE,Suncrest - Ocotillo 500 kV Line,ACTIVE,active,wind,0,0,1
STARLIGHT SOLAR,1432.0,Solar,Battery,,20.0,SAN DIEGO,CA,SDGE,,Boulevard East Substation 69 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
IRONWOOD SOLAR,1435.0,Solar,Battery,,250.0,YUMA,AZ,SDGE,SDGE,Hoodoo Wash Switchyard 500 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
AJO POWER BANK,1442.0,Battery,,,120.0,SANTA CLARA,CA,PGAE,Northern,Llagas-Gilroy Foods 115 kV line,ACTIVE,active,storage,0,0,1
ANGELA,1443.0,Solar,Battery,,40.0,TULARE,CA,PGAE,Kern,Olive 115 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
SALOON ENERGY STORAGE,1444.0,Battery,,,150.0,COLUSA,CA,PGAE,Northern,Cortina 115 kV,ACTIVE,active,storage,0,0,1
HUMMINGBIRD ENERGY STORAGE,1454.0,Battery,,,75.0,SANTA CLARA,CA,PGAE,Northern,Metcalf 115 kV,ACTIVE,active,storage,0,0,1
JANUS,1455.0,Battery,Solar,,80.0,COLUSA,CA,PGAE,Northern,Cortina 60 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
LAS CAMAS 3,1456.0,Solar,Battery,,100.0,MERCED,CA,PGAE,Fresno,Los Banos 230 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
MILPA POWER BANK,1457.0,Battery,,,3.0,SANTA CLARA,CA,PGAE,Northern,Los Esteros 115 kV,ACTIVE,active,storage,0,0,1
MULQUEENEY RANCH WIND 2,1459.0,Wind Turbine,,,60.0,ALAMEDA,CA,PGAE,Northern,Tesla 230 kV,ACTIVE,active,wind,0,0,1
