source,sheet_outcome,pto,affected_pto,study_area,poi,tech_1,mw_1,tech_2,mw_2,tech_3,mw_3,mw_poi,status_raw
cluster14,intake_snapshot,PGE,,Fresno,Borden Substation,storage,200.0,,,,,200.0,
cluster14,intake_snapshot,PGE,,Fresno,Borden Substation,storage,200.0,solar,200.0,,,200.0,
cluster14,intake_snapshot,PGE,,Kern,Caliente Switching Station,storage,406.142,,,,,150.0,
cluster14,intake_snapshot,PGE,,Kern,California Flats Switching Station,storage,30.22,solar,60.61,,,60.0,
cluster14,intake_snapshot,PGE,,Fresno,Cantua Substation,storage,45.0,solar,46.4,,,45.0,
cluster14,intake_snapshot,PGE,,NGBA,Cloverdale Jct,storage,20.0,,,,,20.0,
cluster14,intake_snapshot,PGE,,Kern,Coburn Substation,storage,152.8,solar,153.1,,,150.0,
cluster14,intake_snapshot,PGE,,Kern,Coburn - Basic Energy Tap Line,storage,120.0,,,,,120.0,
cluster14,intake_snapshot,PGE,,GBA,Contra Costa Substation,storage,200.0,,,,,200.0,
cluster14,intake_snapshot,PGE,,GBA,Contra Costa - Contra Costa Power Plant Line,storage,307.878,,,,,300.0,
cluster14,intake_snapshot,PGE,,GBA,Contra Costa Substation,storage,256.29,,,,,250.0,
cluster14,intake_snapshot,PGE,,GBA,Cooley Landing Substation,storage,100.9,,,,,100.0,
cluster14,intake_snapshot,PGE,,Fresno,Corcoran Substation,storage,87.5,solar,87.5,,,85.0,
cluster14,intake_snapshot,PGE,,NGBA,Cottle Substation,storage,102.672,,,,,100.0,
cluster14,intake_snapshot,PGE,,NGBA,Cottonwood - Burney Forest - Pit #1 Line,storage,19.75,solar,88.0,,,75.0,
cluster14,intake_snapshot,PGE,,NGBA,Cottonwood - Logan Creek Line,solar,142.6,,,,,140.0,
cluster14,intake_snapshot,PGE,,Kern,Crazy Horse Canyon - Hollister Line,storage,112.386,solar,112.491,,,110.0,
cluster14,intake_snapshot,PGE,,Fresno,Crescent Switching Station,storage,35.951,solar,35.979,,,35.0,
cluster14,intake_snapshot,PGE,,Non_PGE,Crows Landing Substation,storage,111.7,,,,,110.0,
cluster14,intake_snapshot,PGE,,Kern,Diablo Canyon Switching Station,storage,756.065,wind,1518.472,,,1500.0,
cluster14,intake_snapshot,PGE,,Kern,Diablo Canyon Switching Station,wind,1039.5,,,,,1000.0,
cluster14,intake_snapshot,PGE,,Kern,Diablo Canyon Switching Station,wind,1028.94,,,,,1000.0,
cluster14,intake_snapshot,PGE,,Kern,Diablo Canyon Switching Station,wind,1464.6,,,,,1400.0,
cluster14,intake_snapshot,PGE,,Kern,Divide - Cabrillo #1 Line,wind,61.5,,,,,60.0,
cluster14,intake_snapshot,PGE,,GBA,Dumbarton Substation,storage,62.6,,,,,62.0,
cluster14,intake_snapshot,PGE,,GBA,Dumbarton - Newark Line,storage,226.8,,,,,225.0,
cluster14,intake_snapshot,PGE,,GBA,Edes  Substation,storage,101.85577,,,,,100.0,
cluster14,intake_snapshot,PGE,,Fresno,El Capitan Substation,storage,178.881,,,,,175.0,
cluster14,intake_snapshot,PGE,,Fresno,El Nido Substation,storage,151.42,,,,,150.0,
cluster14,intake_snapshot,PGE,,Fresno,Excelsior Switching Station,storage,127.37,solar,127.57,,,125.0,
cluster14,intake_snapshot,PGE,,GBA,Fibreboard Tap Line,storage,165.048,,,,,160.0,
cluster14,intake_snapshot,PGE,,GBA,FMC Substation,storage,152.28,,,,,150.0,
cluster14,intake_snapshot,PGE,,NGBA,Fulton Substation,storage,213.55,,,,,200.0,
cluster14,intake_snapshot,PGE,,NGBA,Geysers #17 - Fulton Line,storage,120.0,Steam Turbine Geothermal,50.0,,,170.0,
cluster14,intake_snapshot,PGE,,Fresno,Gates Substation,storage,508.56,,,,,500.0,
cluster14,intake_snapshot,PGE,,Fresno,Gates Substation,solar,192.73,,,,,189.91,
cluster14,intake_snapshot,PGE,,Fresno,Gates Substation,storage,202.5,solar,202.5,,,200.0,
cluster14,intake_snapshot,PGE,,Kern,Gates - Midway Line,storage,411.3,solar,410.502,,,400.0,
cluster14,intake_snapshot,PGE,,Kern,Gates - Midway Line,storage,411.3018,solar,410.5024,,,400.0,
cluster14,intake_snapshot,PGE,,Fresno,Gates Substation,storage,520.0,solar,1040.0,,,1000.0,
cluster14,intake_snapshot,PGE,,Fresno,Gates - Templeton Line,storage,300.0,solar,300.0,,,300.0,
