pto,affected_pto,area,total_mw_at_poi,tech_1,mw_t1,tech_2,mw_t2,tech_3,mw_t3,poi,voltage_kv,tech_1_norm,tech_2_norm,tech_3_norm,technology,net_mw
SCE,,Metro,252.0,Battery,252.0,,,,,Mesa Substation,230.0,Battery,,,Battery,252.0
SCE,,Metro,400.0,Battery,403.5,,,,,Mira Loma Substation,230.0,Battery,,,Battery,400.0
SCE,,Metro,500.0,Battery,504.2,,,,,La Cienega Substation,230.0,Battery,,,Battery,500.0
SCE,,Metro,300.0,Battery,302.4,,,,,Rio Hondo Substation,230.0,Battery,,,Battery,300.0
SCE,,Metro,300.0,Battery,302.4,,,,,Barre Substation,230.0,Battery,,,Battery,300.0
SCE,,Metro,550.0,Battery,550.0,,,,,Mira Loma-Chino line,230.0,Battery,,,Battery,550.0
SCE,,Metro,200.0,Battery,204.5175,,,,,Mira Loma Substation,230.0,Battery,,,Battery,200.0
SCE,,Metro,100.0,Battery,102.26,,,,,Laguna Bell Substation,230.0,Battery,,,Battery,100.0
SCE,,Metro,236.0,Battery,241.5,,,,,Alamitos Substation,220.0,Battery,,,Battery,236.0
SCE,,Metro,250.0,Battery,252.0,,,,,Etiwanda Substation,230.0,Battery,,,Battery,250.0
SCE,,Metro,200.0,Battery,200.0,,,,,Walnut Substation,230.0,Battery,,,Battery,200.0
SCE,,Metro,150.0,Battery,150.0,,,,,Chino Substation,230.0,Battery,,,Battery,150.0
SCE,,Metro,163.0,Battery,171.738,,,,,Sylmar-Gould line,230.0,Battery,,,Battery,163.0
SCE,,Metro,300.0,Battery,300.0,,,,,Hinson Substation,230.0,Battery,,,Battery,300.0
SCE,,Metro,300.0,Battery,312.96,,,,,Mira Loma Substation,230.0,Battery,,,Battery,300.0
SCE,,Metro,500.0,Solar PV,512.58,,,,,Mira Loma Substation,230.0,Solar,,,Solar,500.0
SCE,,Metro,300.0,Battery,300.0,,,,,Serrano Substation,220.0,Battery,,,Battery,300.0
SCE,,Metro,250.0,Battery,256.29,,,,,Laguna Bell Substation,230.0,Battery,,,Battery,250.0
SCE,GLW/VEA,EOP,250.0,Battery,250.0,Solar PV,250.0,,,Mohave Substation,500.0,Battery,Solar,,Hybrid (Solar+Storage),250.0
SCE,GLW/VEA,EOP,250.0,Battery,256.29,,,,,Eldorado Substation (SCE owned portion),230.0,Battery,,,Battery,250.0
GLW,VEA/SCE,EOP,500.0,Battery,516.7638,Solar PV,516.7638,,,Gamebird Substation,230.0,Battery,Solar,,Hybrid (Solar+Storage),500.0
GLW,VEA/SCE,EOP,350.0,Battery,350.0,Solar PV,350.0,,,Desert View Substation,230.0,Battery,Solar,,Hybrid (Solar+Storage),350.0
GLW,VEA/SCE,EOP,500.0,Battery,500.0,Solar PV,500.0,,,Trout Canyon Substation,230.0,Battery,Solar,,Hybrid (Solar+Storage),500.0
GLW,VEA/SCE,EOP,500.0,Battery,508.56,Solar PV,508.56,,,Trout Canyon Substation,230.0,Battery,Solar,,Hybrid (Solar+Storage),500.0
GLW,VEA/SCE,EOP,300.0,Battery,307.0,Solar PV,307.0,,,Trout Canyon Substation,230.0,Battery,Solar,,Hybrid (Solar+Storage),300.0
VEA,GLW/SCE,EOP,500.0,Battery,500.0,Solar PV,500.0,,,Valley Switch- Lathrop Wells line,138.0,Battery,Solar,,Hybrid (Solar+Storage),500.0
VEA,GLW/SCE,EOP,427.0,Steam Turbine,530.0,,,,,Beatty Substation,138.0,Other,,,Other,427.0
VEA,GLW/SCE,EOP,500.0,Battery,508.56,,,,,Beatty Substation,138.0,Battery,,,Battery,500.0
VEA,GLW/SCE,EOP,220.0,Battery,110.79,Solar PV,223.32,,,Vista Substation,138.0,Battery,Solar,,Hybrid (Solar+Storage),220.0
SDGE,,SDGE,300.0,Battery,300.0,,,,,Chicarita Substation,138.0,Battery,,,Battery,300.0
SDGE,,SDGE,100.0,Battery,100.65,,,,,Loveland Substation,69.0,Battery,,,Battery,100.0
SDGE,,SDGE,300.0,Battery,312.96,,,,,Suncrest Substation,230.0,Battery,,,Battery,300.0
SDGE,,SDGE,150.0,Battery,150.0,,,,,Bernardo Substation,69.0,Battery,,,Battery,150.0
SDGE,,SDGE,100.0,Battery,100.0,,,,,Border Substation,69.0,Battery,,,Battery,100.0
SDGE,,SDGE,400.0,Battery,313.919228,Wind Turbine,105.8,,,Suncrest-Ocotillo line,500.0,Battery,Wind,,Hybrid (Other),400.0
SDGE,,SDGE,300.0,Battery,312.96,,,,,Otay Mesa Substation,230.0,Battery,,,Battery,300.0
SDGE,,SDGE,600.0,Battery,615.756,,,,,Otay Mesa Substation,230.0,Battery,,,Battery,600.0
SDGE,,SDGE,1150.0,Battery,1182.38,Solar PV,1182.38,,,North Gila-Imperial Valley line,500.0,Battery,Solar,,Hybrid (Solar+Storage),1150.0
SDGE,,SDGE,900.0,Wind Turbine,940.8,,,,,ECO Substation,500.0,Wind,,,Wind,900.0
SDGE,,SDGE,200.0,Battery,200.0,,,,,Miguel Substation,230.0,Battery,,,Battery,200.0
SDGE,,SDGE,50.0,Battery,51.52,,,,,Border Substation,69.0,Battery,,,Battery,50.0
SDGE,,SDGE,200.0,Battery,213.5487,,,,,Silvergate Substation,230.0,Battery,,,Battery,200.0
SDGE,,SDGE,250.0,Battery,256.29,,,,,Otay Mesa Substation,230.0,Battery,,,Battery,250.0
SDGE,,SDGE,50.0,Battery,51.4,,,,,Miguel Substation,69.0,Battery,,,Battery,50.0
