Project Name,Queue Position,"Interconnection Request
Receive Date",Queue Date,Application Status,"Study
Process",Type-1,Type-2,Type-3,Fuel-1,Fuel-2,Fuel-3,MW-1,MW-2,MW-3,Net MWs to Grid,"Full Capacity, Partial or Energy Only (FC/P/EO)",TPD Allocation Percentage,Off-Peak Deliverability and Economic Only,TPD Allocation Group,County,State,Utility,PTO Study Region,Station or Transmission Line,"Proposed
On-line Date
(as filed with IR)","Current
On-line Date",Suspension Status,Feasibility Study or Supplemental Review,"System Impact Study or 
Phase I Cluster Study","Facilities Study (FAS) or 
Phase II Cluster Study","Optional Study
(OS)","Interconnection Agreement 
Status",status,"Actual
On-line Date",Project Name - Confidential,Withdrawn Date,Reason for Withdrawal
REGULUS SOLAR (FKA FRV REGULUS SOLAR),559,2010-01-27 00:00:00,2010-02-01 08:00:00,COMPLETED,C02,Photovoltaic,,,Solar,,,60,,,60,Full Capacity,,Off-Peak Deliverability,,KERN,CA,PGAE,,Wheeler Ridge-Lamont 115kV,2012-07-01 07:00:00,,,,Complete,Complete,,Executed,completed,2014-11-11 08:00:00,,,
RUSSELL CITY ENERGY CENTER FD3 UPGRADE,568,2010-01-28 00:00:00,2010-02-01 08:00:00,COMPLETED,C02,Combined Cycle,,,Natural Gas,,,25,,,25,Full Capacity,,Off-Peak Deliverability,,ALAMEDA,CA,PGAE,,Eastshore Substation 230kV Bus,2013-05-01 07:00:00,,,,Complete,Complete,,Executed,completed,2013-08-08 07:00:00,,,
PIO PICO ENERGY CENTER,574,2010-01-29 00:00:00,2010-02-01 08:00:00,COMPLETED,C02,Combustion Turbine,,,Natural Gas,,,308,,,308,Full Capacity,,Off-Peak Deliverability,,SAN DIEGO,CA,SDGE,,Otay Mesa Switchyard 230 kV,2013-05-01 07:00:00,,,,Complete,Complete,,Executed,completed,2016-11-03 07:00:00,,,
BLYTHE MESA SOLAR,576,2010-01-29 00:00:00,2010-02-01 08:00:00,COMPLETED,C02,Photovoltaic,Storage,,Solar,Battery,,224,112,,224,Full Capacity,,Off-Peak Deliverability,,RIVERSIDE,CA,SCE,Eastern,Colorado River Sub 230kV Bus,2013-12-31 08:00:00,,,,Complete,Complete,,Executed,completed,2022-12-22 08:00:00,,,
SOLAR STAR CALIFORNIA XIII (QUINTO),577,2010-01-29 00:00:00,2010-02-01 08:00:00,COMPLETED,C02,Photovoltaic,,,Solar,,,110,,,110,Full Capacity,,Off-Peak Deliverability,,MERCED,CA,PGAE,,Los Banos-Westley 230kV,2013-12-31 08:00:00,,,,Complete,Complete,,Executed,completed,2015-11-30 08:00:00,,,
HENRIETTA SOLAR (FKA SUNPOWER HENRIETTA SOLAR),581,2010-01-29 00:00:00,2010-02-01 08:00:00,COMPLETED,C02,Photovoltaic,,,Solar,,,100,,,100,Full Capacity,,Off-Peak Deliverability,,KINGS,CA,PGAE,,Henrietta-GWF 115 kV Line,2013-05-01 07:00:00,,,,Complete,Complete,,Executed,completed,2016-08-15 07:00:00,,,
CAMPO VERDE SOLAR (FKA USS WIXOM SOLAR 1),590,2010-01-29 00:00:00,2010-02-01 08:00:00,COMPLETED,C02,Photovoltaic,,,Solar,,,147,,,147,Full Capacity,,Off-Peak Deliverability,,IMPERIAL,CA,SDGE,,Imperial Valley Substation 230 kV,2012-12-31 08:00:00,,,,Complete,Complete,,Executed,completed,2013-10-22 07:00:00,,,
CATALINA SOLAR,602,2010-01-30 00:00:00,2010-02-01 08:00:00,COMPLETED,C02,Photovoltaic,,,Solar,,,145.44,,,145.44,Full Capacity,,Off-Peak Deliverability,,KERN,CA,SCE,Northern,Whirlwind Substation 230kV,2013-07-01 07:00:00,,,,Complete,Complete,,Executed,completed,2022-12-29 08:00:00,,,
TRACY - ADDITIONAL CAPACITY,606,2010-02-01 00:00:00,2010-02-01 08:00:00,COMPLETED,C02,Combined Cycle,,,Natural Gas,,,20,,,20,Full Capacity,,Off-Peak Deliverability,,SAN JOAQUIN,CA,PGAE,,Schulte Switching Station 115kV bus,2012-06-01 07:00:00,,,,Complete,Complete,,Executed,completed,2012-05-31 07:00:00,,,
NORTH STAR SOLAR 1,607,2010-02-01 00:00:00,2010-02-01 08:00:00,COMPLETED,C02,Photovoltaic,,,Solar,,,60,,,60,Full Capacity,,Off-Peak Deliverability,,FRESNO,CA,PGAE,,Mendota Substation 115 kV bus,2012-10-01 07:00:00,,,,Complete,Complete,,Executed,completed,2015-06-20 07:00:00,,,
