Project Name,Queue Position,"Interconnection Request
Receive Date",Queue Date,Application Status,"Study
Process",Type-1,Type-2,Type-3,Fuel-1,Fuel-2,Fuel-3,MW-1,MW-2,MW-3,Net MWs to Grid,"Full Capacity, Partial or Energy Only (FC/P/EO)",TPD Allocation Percentage,Off-Peak Deliverability and Economic Only,TPD Allocation Group,County,State,Utility,PTO Study Region,Station or Transmission Line,"Proposed
On-line Date
(as filed with IR)","Current
On-line Date",Suspension Status,Feasibility Study or Supplemental Review,"System Impact Study or 
Phase I Cluster Study","Facilities Study (FAS) or 
Phase II Cluster Study","Optional Study
(OS)","Interconnection Agreement 
Status",status,"Actual
On-line Date",Project Name - Confidential,Withdrawn Date,Reason for Withdrawal
,903,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Photovoltaic,,,Solar,,,387,,,387,Full Capacity,,,,LOS ANGELES,CA,SCE,,Lugo-Vincent 500 kV line,2016-12-20 08:00:00,2016-12-20 08:00:00,,,Complete,,,,withdrawn,,DESERT BUTTE SOLAR FARM,2013-05-06 07:00:00,
,904,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Photovoltaic,,,Solar,,,150,,,150,Full Capacity,,,,RIVERSIDE,CA,SCE,,Colorado River Substation 230kV,2016-07-01 07:00:00,2016-07-01 07:00:00,,,,,,,withdrawn,,MULE MOUNTAIN - C5,2013-02-28 08:00:00,
,905,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Photovoltaic,,,Solar,,,80,,,80,Full Capacity,,,,KERN,CA,PGAE,,Temblor-Kernridge 115kV line,2016-06-30 07:00:00,2016-06-30 07:00:00,,,,,,,withdrawn,,BELRIDGE SOLAR ENERGY 2 PROJECT ,2012-07-30 07:00:00,
,906,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Photovoltaic,,,Solar,,,100,,,100,Full Capacity,,,,SAN BERNARDINO,CA,SCE,,Jasper Substation 230kV,2015-05-01 07:00:00,2015-05-01 07:00:00,,,,,,,withdrawn,,LUCERNE SOLAR ENERGY - C5,2012-08-03 07:00:00,
,907,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Photovoltaic,,,Solar,,,80,,,80,Full Capacity,,,,FRESNO,CA,PGAE,,Newhall Substation 115 kV bus,2013-10-22 07:00:00,2013-10-22 07:00:00,,,,,,,withdrawn,,NEWHALL SOLAR ENERGY PROJECT,2012-07-30 07:00:00,
,908,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Photovoltaic,Steam Turbine,,Solar,Solar,,50,160,,210,Full Capacity,,,,NYE,NV,VEA,,Crazy Eyes Tap 230kV,2017-06-01 07:00:00,2019-02-28 08:00:00,,,Complete,Complete,,,withdrawn,,PAHRUMP VALLEY SOLAR (FKA LATHROP WELLS 240MW),2015-03-12 07:00:00,
,910,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Steam Turbine,,,Geothermal,,,20,,,20,Full Capacity,,,,LASSEN,CA,PGAE,,Honey Lake Substation 60 kV,2015-01-01 08:00:00,2016-06-01 07:00:00,,,,,,,withdrawn,,HONEY LAKE GEOTHERMAL PROJECT,2013-05-15 07:00:00,
,912,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Photovoltaic,,,Solar,,,150,,,150,Full Capacity,,,,KERN,CA,SCE,,Windhub Substation 220kV,2015-01-01 08:00:00,2015-01-01 08:00:00,,,,,,,withdrawn,,SANBORN SOLAR,2012-06-20 14:54:25,
,913,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Photovoltaic,,,Solar,,,150,,,150,Full Capacity,,,,RIVERSIDE,CA,SCE,,Colorado River Substation 230 kV bus,2016-12-31 08:00:00,2016-12-31 08:00:00,,,Complete,,,,withdrawn,,QUARTZ 1 SOLAR,2013-05-06 07:00:00,
,914,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Photovoltaic,,,Solar,,,20,,,20,Full Capacity,,,,NYE,NV,VEA,,Vista Substation 138kV,2014-12-01 08:00:00,2016-03-31 07:00:00,,,Complete,,,,withdrawn,,VEA BLACKROCK,2013-05-06 07:00:00,
,915,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Photovoltaic,,,Solar,,,20,,,20,Full Capacity,,,,NYE,NV,VEA,,Thousandaire Substation 138kV,2014-12-01 08:00:00,2014-12-01 08:00:00,,,,,,,withdrawn,,VEA HOMESTEAD,2012-06-20 07:00:00,
,916,2012-03-30 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Photovoltaic,,,Solar,,,20,,,20,Full Capacity,,,,KINGS,CA,PGAE,,Henrietta-GWF 115 kV Line ,2014-12-01 08:00:00,2014-12-01 08:00:00,,,Complete,,,,withdrawn,,STRATFORD SOLAR - C5,2013-05-15 07:00:00,
,917,2012-03-30 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Photovoltaic,,,Solar,,,20,,,20,Full Capacity,,,,KINGS,CA,PGAE,,Henrietta-GWF 115 kV Line; ,2014-12-01 08:00:00,2014-12-01 08:00:00,,,Complete,,,,withdrawn,,LEMOORE SOLAR - C5,2013-05-15 07:00:00,
,918,2012-03-30 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Photovoltaic,,,Solar,,,200,,,200,Full Capacity,,,,FRESNO,CA,PGAE,,Mendota Dairyland 115kV ,2015-12-31 08:00:00,2015-12-31 08:00:00,,,,,,,withdrawn,,FIREBAUGH SOLAR - C5,2012-08-06 07:00:00,
,919,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Photovoltaic,,,Solar,,,75,,,75,Full Capacity,,,,IMPERIAL,CA,SDGE,,Imperial Valley Substation 230kV,2015-01-01 08:00:00,2015-01-01 08:00:00,,,,,,,withdrawn,,YUHA BASIN SOLAR,2013-03-04 08:00:00,
,920,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Photovoltaic,,,Solar,,,75,,,75,Full Capacity,,,,KERN,CA,SCE,,Coolwater-DunnSiding-Baker Substation 115kV,2015-01-01 08:00:00,2015-01-01 08:00:00,,,,,,,withdrawn,,YERMO SOLAR,2012-06-20 14:46:10,
,921,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Photovoltaic,,,Solar,,,40,,,40,Full Capacity,,,,TULARE,CA,PGAE,,Alpaugh-Smyrna 115kV Line,2016-12-01 08:00:00,2016-12-01 08:00:00,,,Complete,,,,withdrawn,,SPS AS 40MW PV GENERATION FACILITY,2013-05-15 07:00:00,
,922,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Combustion Turbine,,,Natural Gas,,,291,,,291,Full Capacity,,,,KERN,CA,SCE,,Highwind Substation 230kV,2016-01-01 08:00:00,2017-01-01 08:00:00,,,Complete,Complete,,,withdrawn,,HIGHWIND POWER PROJECT,2014-10-13 07:00:00,
,923,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Combined Cycle,,,Natural Gas,,,402,,,402,Full Capacity,,,,SAN BERNARDINO,CA,SCE,,Vista Substation 230kV ,2017-01-01 08:00:00,2018-01-01 08:00:00,,,Complete,,,,withdrawn,,VISTA POWER PROJECT,2013-04-17 07:00:00,
,924,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Wind Turbine,,,Wind Turbine,,,150,,,150,Full Capacity,,,,MERCED,CA,PGAE,,Los Banos-Westly 230 kV Line ,2015-12-01 08:00:00,2015-12-01 08:00:00,,,,,,,withdrawn,,RED MOUNTAIN WIND ENERGY CENTER - C5,2012-08-06 07:00:00,
,925,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Storage,,,Flywheel,,,20,,,20,Full Capacity,,,,KERN,CA,SCE,,Windhub Substation 230kV bus,2014-09-30 07:00:00,2014-09-30 07:00:00,,,Complete,,,,withdrawn,,TEHACHAPI SPINDLE,2013-05-10 07:00:00,
,926,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Combined Cycle,,,Natural Gas,,,550,,,550,Full Capacity,,,,KERN,CA,SCE,,Windhub Substation 230 kV,2015-03-15 07:00:00,2018-08-06 07:00:00,,,Complete,Complete,,,withdrawn,,GOLDEN HILLS POWER,2014-03-20 07:00:00,
,927,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Photovoltaic,,,Solar,,,45,,,45,Full Capacity,,,,KERN,CA,SCE,,Highwind Substation 230kV bus,2015-01-15 08:00:00,2016-12-01 08:00:00,,,Complete,Complete,,,withdrawn,,TEHACHAPI VALLEY SOLAR I,2015-06-15 07:00:00,
,928,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Wind Turbine,,,Wind Turbine,,,175,,,175,Full Capacity,,,,SOLANO,CA,PGAE,,CPN Creed/ Goose Haven Subs - Lambie Switching Station 230 kV,2015-12-31 08:00:00,2015-12-31 08:00:00,,,Complete,Complete,,,withdrawn,,DELTA SOLANO WIND,2014-10-31 07:00:00,
,929,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Combustion Turbine,Photovoltaic,,Natural Gas,Solar,,50,200,,250,Full Capacity,,,,CLARK,NV,SCE,,Mohave-Lugo 500kV line,2015-12-01 08:00:00,2016-12-31 08:00:00,,,Complete,,,,withdrawn,,ENN MOJAVE POWER 1,2013-05-02 07:00:00,
,930,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Combustion Turbine,Photovoltaic,,Natural Gas,Solar,,50,200,,250,Full Capacity,,,,CLARK,NV,SCE,,Mohave-Lugo 500kV line,2015-12-01 08:00:00,2016-12-31 08:00:00,,,Complete,,,,withdrawn,,ENN MOJAVE POWER 2,2013-05-02 07:00:00,
,931,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Photovoltaic,Combustion Turbine,,Solar,Natural Gas,,150,150,,300,Full Capacity,,,,CLARK,NV,SCE,,Mohave-Eldorado 500kV line,2015-12-01 08:00:00,2016-12-31 08:00:00,,,Complete,,,,withdrawn,,ENN MOJAVE POWER 3,2013-05-02 07:00:00,
,932,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Combustion Turbine,Photovoltaic,,Natural Gas,Solar,,100,200,,300,Full Capacity,,,,CLARK,NV,SCE,,Mohave-Eldorado 500kV line,2015-12-01 08:00:00,2016-12-31 08:00:00,,,Complete,,,,withdrawn,,ENN MOJAVE POWER 4,2013-05-02 07:00:00,
,933,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Other,,,Natural Gas,,,49,,,49,Full Capacity,,,,KERN,CA,PGAE,, Rio Bravo Tomato Substation 115 kV Bus,2014-04-01 07:00:00,2014-04-01 07:00:00,,,Complete,,,,withdrawn,,WELLHEAD POWER MIDFRUIT CHP,2013-05-15 07:00:00,
,934,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Other,,,Natural Gas,,,49,,,49,Full Capacity,,,,MERCED,CA,PGAE,,Santa Nella-Canal 70kV line,2014-04-01 07:00:00,2014-04-01 07:00:00,,,Complete,,,,withdrawn,,WELLHEAD POWER NELLA CHP,2013-05-15 07:00:00,
,935,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Other,,,Natural Gas,,,49,,,49,Full Capacity,,,,YOLO,CA,PGAE,,Woodland-Davis 115kV line,2014-04-01 07:00:00,2014-04-01 07:00:00,,,,,,,withdrawn,,WELLHEAD POWER WOODLAND CHP,2012-08-06 07:00:00,
,936,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Photovoltaic,,,Solar,,,20,,,20,Full Capacity,,,,FRESNO,CA,PGAE,,Coalinga 1-Coalinga 2 70kV line,2015-05-01 07:00:00,2015-05-01 07:00:00,,,,,,,withdrawn,,COALINGA SOLAR CENTER,2012-08-06 07:00:00,
,937,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Other,,,Natural Gas,,,49,,,49,Full Capacity,,,,KINGS,CA,PGAE,,Lemoore-Henrietta 115kV line,2014-04-01 07:00:00,2014-04-01 07:00:00,,,Complete,,,,withdrawn,,WELLHEAD POWER LEMIETTA CHP,2013-05-15 07:00:00,
,938,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Reciprocating Engine,,,Natural Gas,,,300,,,300,Full Capacity,,,,KERN,CA,SCE,,Windhub 230 kV bus,2016-06-01 07:00:00,2016-06-01 07:00:00,,,,,,,withdrawn,,TENASKA MOUNTAIN BASIN,2012-06-15 07:00:00,
,939,2012-03-13 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Combined Cycle,,,Natural Gas,,,1902.867,,,1902.86,Full Capacity,,,,LOS ANGELES,CA,SCE,,Alamitos Switching Station 230kV,2025-11-01 07:00:00,2025-11-01 07:00:00,,,,,,,withdrawn,,ALAMITOS ENERGY CENTER,2012-08-01 07:00:00,
,940,2012-04-02 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Photovoltaic,,,Solar,,,238,,,238,Full Capacity,,,,HYDER,AZ,SDGE,,Hassayampa-North Gila 500kV Line,2014-07-01 07:00:00,2014-07-01 07:00:00,,,,,,,withdrawn,,PALMAS C5,2012-06-15 16:12:48,
,941,2012-03-13 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Combustion Turbine,,,Natural Gas,,,475.717,,,475.71,Full Capacity,,,,LOS ANGELES,CA,SCE,,Redondo Beach Switching Station 230kV,2019-01-01 08:00:00,2019-01-01 08:00:00,,,Complete,,,,withdrawn,,REDONDO BEACH ENERGY PROJECT,2013-11-21 08:00:00,
,942,2012-03-29 00:00:00,2012-04-02 07:00:00,WITHDRAWN,C05,Photovoltaic,,,Solar,,,250,,,250,Full Capacity,,,,KERN,CA,SCE,,Kramer Substation 220kV bus,2016-04-30 07:00:00,2016-04-30 07:00:00,,,Complete,,,,withdrawn,,MIRAGE SOLAR,2013-03-18 07:00:00,
,943,2013-04-15 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Photovoltaic,,,Solar,,,50,,,50,Full Capacity,,,,KERN,CA,PGAE,,Lerdo 115 kV Substation,2015-12-01 08:00:00,2015-12-01 08:00:00,,,Complete,,,,withdrawn,,LERDO SOLAR,2014-03-04 08:00:00,
,944,2013-04-15 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Photovoltaic,,,Solar,,,20,,,20,Full Capacity,,,,SAN DIEGO,CA,SDGE,,Valley Center 69kv Sub,2015-08-01 07:00:00,2015-07-01 07:00:00,,,Complete,,,,withdrawn,,VALLEY CENTER SOLAR,2015-02-26 08:00:00,
,947,2013-04-24 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Photovoltaic,,,Solar,,,120,,,120,Full Capacity,,,,TULARE,CA,PGAE,,Olive Substation 115 kV,2017-12-01 08:00:00,2017-12-01 08:00:00,,,,,,,withdrawn,,GV SOLAR 3,2014-03-06 08:00:00,
,948,2013-04-29 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Photovoltaic,,,Solar,,,20,,,20,Full Capacity,,,,SAN DIEGO,CA,SDGE,,Border 69 KV Substation,2015-08-01 07:00:00,2015-08-01 07:00:00,,,,,,,withdrawn,,BORDER SOLAR,2014-03-07 08:00:00,
,949,2013-04-29 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Photovoltaic,,,Solar,,,20,,,20,Full Capacity,,,,SAN DIEGO,CA,SDGE,,Warners 69kV line,2015-08-01 07:00:00,2015-08-01 07:00:00,,,,,,,withdrawn,,FELIPE SOLAR,2013-07-16 07:00:00,
,950,2013-04-29 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Photovoltaic,,,Solar,,,200,,,200,Full Capacity,,,,SAN BERNARDINO,CA,SCE,,Kramer Substation 230kV,2016-10-01 07:00:00,2016-10-01 07:00:00,,,Complete,,,,withdrawn,,KRAMER SOLAR,2014-03-06 08:00:00,
,951,2013-04-29 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Photovoltaic,,,Solar,,,20,,,20,Full Capacity,,,,ALAMEDA,CA,PGAE,,Vasco 60kV Substation,2015-08-01 07:00:00,2015-08-01 07:00:00,,,,,,,withdrawn,,LIVERMORE SOLAR,2014-03-04 08:00:00,
,955,2013-04-30 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Combined Cycle,Combined Cycle,,Natural Gas,Natural Gas,,60,48.3,,48.3,Full Capacity,,Off-Peak Deliverability,,,,PGAE,,Sanger Co-gen 115/13.8kV Sub,2014-05-01 07:00:00,2020-11-01 07:00:00,,,Complete,Complete,,Executed,withdrawn,,ALGONQUIN POWER SANGER 2,2020-04-01 07:00:00,IC Request
,956,2013-04-30 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Wind Turbine,,,Wind Turbine,,,65,,,65,Full Capacity,,,,SOLANO,CA,PGAE,,VACA-VACAVILLE-JAMESON-NORTH TOWER 115KV,2016-12-31 08:00:00,2016-12-31 08:00:00,,,,,,,withdrawn,,BENICIA WIND,2014-02-25 08:00:00,
,957,2013-04-30 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Reciprocating Engine,,,Natural Gas,,,205,,,205,Full Capacity,,,,SAN DIEGO,CA,SDGE,,Otay Mesa Substation 230kV,2017-06-01 07:00:00,2017-06-01 07:00:00,,,Complete,,,,withdrawn,,CALPEAK BORDER OM 2,2014-03-20 07:00:00,
,958,2013-04-30 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Combustion Turbine,,,Natural Gas,,,49.9,,,49.9,Full Capacity,,,,SAN DIEGO,CA,SDGE,,69kV bus of the El Cajon Sub,2015-01-03 08:00:00,2015-01-03 08:00:00,,,,,,,withdrawn,,EL CAJON ENERGY CENTER 2,2013-07-01 07:00:00,
,959,2013-04-30 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Photovoltaic,,,Solar,,,30,,,30,Full Capacity,,,,SAN DIEGO,CA,SDGE,,Crestwood-Boulevard East 69kV line,2016-12-31 08:00:00,2016-12-31 08:00:00,,,Complete,,,,withdrawn,,FOX SOLAR,2014-03-12 07:00:00,
,960,2013-04-30 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Combined Cycle,,,Natural Gas,,,59.328,,,59.32,Full Capacity,,,,ORANGE,CA,SCE,,Huntington Beach Switching Station 230kV ,2020-06-01 07:00:00,2023-01-30 08:00:00,,,Complete,,,,withdrawn,,HUNTINGTON BEACH 2,2015-09-03 07:00:00,
,961,2013-04-30 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Photovoltaic,,,Solar,,,200.62,,,200.62,Full Capacity,,,,BAJA CALIFORNIA,MX,SDGE,,Imperial Valley Substation 230kV,2015-11-01 07:00:00,2020-04-03 07:00:00,,,Complete,Complete,,Executed,withdrawn,,LAGUNA SALADA PV POWER PLANT,2019-08-01 07:00:00,IC Request
,962,2013-04-30 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Hydro,,,Water,,,15.5,,,15.5,Full Capacity,,,,PLACER,CA,PGAE,,Halsey Substation 60Kv,2017-01-15 08:00:00,2017-01-15 08:00:00,,,Complete,,,,withdrawn,,LAKE CLEMENTINE HYDROELECTRIC,2014-04-25 07:00:00,
,964,2013-04-30 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Other,,,Natural Gas,,,47.821,,,47.82,Full Capacity,,,,KERN,CA,PGAE,,Arco-Twisselman 70 kV Line,2017-03-01 08:00:00,2017-03-31 07:00:00,,,Complete,,,,withdrawn,,LOST HILLS COGEN,2014-04-16 07:00:00,
,966,2013-04-30 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Other,,,Natural Gas,,,47.821,,,47.82,Full Capacity,,,,KERN,CA,PGAE,,Midway-Midsun 115 kV line,2017-03-31 07:00:00,2017-03-31 07:00:00,,,,,,,withdrawn,,MIDWAY HILLS COGEN,2014-03-04 08:00:00,
,967,2013-04-30 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Photovoltaic,,,Solar,,,33,,,33,Full Capacity,,,,KERN,CA,SCE,,Whirlwind 230 kV bus,2016-03-01 08:00:00,2021-04-30 07:00:00,,,Complete,Complete,,Executed,withdrawn,,GOLDEN OASIS,2019-04-03 07:00:00,IC Request
,969,2013-04-30 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Combustion Turbine,,,Natural Gas,,,110,,,110,Full Capacity,,,,SAN DIEGO,CA,SDGE,,Otay Mesa Switchyard 230kV,2017-04-01 07:00:00,2017-04-01 07:00:00,,,Complete,,,,withdrawn,,PIO PICO 2,2014-05-09 07:00:00,
,970,2013-04-30 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Photovoltaic,,,Solar,,,150,,,150,Energy Only,,,,RIVERSIDE,CA,SCE,,Colorado River Substation 230kV bus,2016-12-31 08:00:00,2021-03-15 07:00:00,,,Complete,Complete,,Executed,withdrawn,,QUARTZ 3 SOLAR,2019-03-05 08:00:00,IC Request
,973,2013-04-30 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Photovoltaic,,,Solar,,,150,,,150,Full Capacity,,,,CLARK,NV,SCE,,Primm Substation 230kV,2016-12-31 08:00:00,2016-12-31 08:00:00,,,,,,,withdrawn,,SILVER STATE SOUTH 3 SOLAR,2013-07-02 07:00:00,
,974,2013-04-30 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Wind Turbine,,,Wind Turbine,,,150,,,150,Full Capacity,,,,KINGS,CA,PGAE,,Morrow Bay-Gates 230 kV Line,2016-12-31 08:00:00,2016-12-31 08:00:00,,,,,,,withdrawn,,THREE PEAKS WIND,2014-02-25 08:00:00,
,975,2013-04-30 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Photovoltaic,,,Solar,,,20,,,20,Full Capacity,,,,STANISLAUS,CA,PGAE,,"Salado- Newman 60 kV Line #1, Pole No. 3/13",2016-12-31 08:00:00,2016-01-30 08:00:00,,,Complete,,,,withdrawn,,TIMBA SOLAR,2014-04-17 07:00:00,
,976,2013-04-30 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Wind Turbine,,,Wind Turbine,,,60,,,60,Full Capacity,,,,BUTTE,CA,PGAE,,TABLE MTN-RIO OSO 230 KV Line,2016-12-31 08:00:00,2016-12-31 08:00:00,,,,,,,withdrawn,,TRANSFER RIDGE WIND,2014-02-25 08:00:00,
,977,2013-04-30 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Combined Cycle,,,Natural Gas,,,778,,,778,Full Capacity,,,,VENTURA,CA,SCE,,Santa Clara Substation 230kV bus,2019-06-01 07:00:00,2019-06-01 07:00:00,,,Complete,,,,withdrawn,,VENTURA CLEAN ENERGY,2014-02-24 08:00:00,
,978,2013-04-30 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Combustion Turbine,,,Natural Gas,,,99,,,99,Full Capacity,,,,SAN DIEGO,CA,SDGE,,Avocado-Monserate 69kV line approx 2.5 mile from Monserate,2016-05-15 07:00:00,2016-05-15 07:00:00,,,,,,,withdrawn,,WP FALLBROOK,2013-07-01 07:00:00,
,979,2013-04-30 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Combustion Turbine,,,Natural Gas,,,99,,,99,Full Capacity,,,,SAN DIEGO,CA,SDGE,,Pendleton Sub,2016-05-15 07:00:00,2016-05-15 07:00:00,,,,,,,withdrawn,,WP PENDLETON,2013-07-01 07:00:00,
,980,2013-04-30 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Combustion Turbine,,,Natural Gas,,,200,,,200,Full Capacity,,,,SAN DIEGO,CA,SDGE,,San Luis Rey-Pendleton 69kV line,2017-05-15 07:00:00,2017-05-15 07:00:00,,,,,,,withdrawn,,WP OCEANSIDE,2013-07-01 07:00:00,
,981,2013-04-30 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Combustion Turbine,,,Natural Gas,,,200,,,200,Full Capacity,,,,VENTURA,CA,SCE,,Goleta Substation 220kV bus,2018-05-15 07:00:00,2018-05-15 07:00:00,,,,,,,withdrawn,,WP GOLETA (FKA WP OXNARD),2013-07-16 07:00:00,
,982,2013-04-30 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Combustion Turbine,,,Natural Gas,,,49.9,,,49.9,Full Capacity,,,,SAN DIEGO,CA,SDGE,,San Luis Rey-Stuart 69kV line,2016-05-15 07:00:00,2016-05-15 07:00:00,,,,,,,withdrawn,,WP VANDE,2013-07-01 07:00:00,
,983,2013-04-30 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Combustion Turbine,,,Natural Gas,,,200,,,200,Full Capacity,,,,LOS ANGELES,CA,SCE,,Walnut Substation 230kV,2017-05-15 07:00:00,2017-05-15 07:00:00,,,,,,,withdrawn,,WP WALNUT,2013-07-16 07:00:00,
,984,2013-04-30 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Combustion Turbine,,,Natural Gas,,,344,,,344,Full Capacity,,,,IMPERIAL,CA,SDGE,,Imperial Valley Sub 230kV ,2018-01-01 08:00:00,2018-01-01 08:00:00,,,,,,,withdrawn,,DREW ROAD GENERATION,2013-07-15 07:00:00,
,985,2013-04-30 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Photovoltaic,,,Solar,,,150,,,150,Full Capacity,,,,IMPERIAL,CA,SDGE,,Imperial Valley 230 kV bus,2016-12-31 08:00:00,2016-12-31 08:00:00,,,,,,,withdrawn,,RANCHO WISTARIA SOLAR ENERGY CENTER,2014-03-19 07:00:00,
,986,2013-04-30 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Photovoltaic,,,Solar,,,245,,,245,Full Capacity,,,,KERN,CA,SCE,,Kramer Substation 230kV,2015-08-01 07:00:00,2016-11-01 07:00:00,,,Complete,,,,withdrawn,,FREMONT VALLEY PRESERVATION,2014-04-17 07:00:00,
,987,2013-04-30 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Photovoltaic,,,Solar,,,20,,,20,Full Capacity,,,,SAN LUIS OBISPO,CA,PGAE,,SLO to Oceano 115kV line,2015-08-01 07:00:00,2015-08-01 07:00:00,,,,,,,withdrawn,,PISMO SOLAR,2014-03-04 08:00:00,
,988,2013-04-30 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Photovoltaic,,,Solar,,,20,,,20,Energy Only,,,,KERN,CA,PGAE,,Maricopa-Copus 70kV line,2015-08-01 07:00:00,2017-02-28 08:00:00,,,Complete,Complete,,Executed,withdrawn,,MARICOPA WEST SOLAR PV 2,2017-03-14 07:00:00,
,989,2013-04-30 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Photovoltaic,,,Solar,,,20,,,20,Full Capacity,,,,SAN JOAQUIN,CA,PGAE,,Kasson-Manteca 60kV,2015-08-01 07:00:00,2018-05-01 07:00:00,,,Complete,Complete,,,withdrawn,,KASSON MANTECA SOLAR,2015-04-09 07:00:00,
,990,2013-04-30 00:00:00,2013-04-30 07:00:00,WITHDRAWN,C06,Combustion Turbine,,,Natural Gas,,,910,,,910,Energy Only,,,,LOS ANGELES,CA,SCE,,Loop Center-Mesa and Center-Olinda 230kV lines,2018-01-01 08:00:00,2024-08-13 07:00:00,,,Complete,Complete,,,withdrawn,,CENTER POWER,2016-06-03 07:00:00,
