queue_number,project_number,project_name,fuel_1,fuel_2,fuel_3,mw_1,mw_2,mw_3,net_mw,county,state,study_area,pto,poi,voltage_kv,requested_cod,queue_date,application_date,withdrawal_date,service_type,status,days_queue_to_withdrawal,days_app_to_withdrawal,technology,is_withdrawn,is_active
2220,54740,Hacienda,Photovoltaic/Solar,,,156.525,,,156.525,San Bernardino,CA,SCE NOL,SCE,PISGAH 230 kV,230,2030-12-01,,2024-11-20,,Energy Only Requested,active,,,other,0,1
2262,54725,Helios Grid Reliability,Storage/Battery,,,205.4504,,,205.4504,Calaveras,CA,PG&E GBA,PGAE,LOCKEFORD 115 kV,115,2028-09-15,,2024-11-14,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2327,54703,Hillside Energy Storage,Storage/Battery,,,1064.748473,,,1064.748473,Los Angeles,CA,SCE NORTHERN,SCE,VINCENT 230 kV,230,2029-06-01,,2024-11-21,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2282,54839,Holly Oaks,Storage/Battery,,,128.4,,,128.4,Calaveras,CA,PG&E GBA,PGAE,VALLEY SPRINGS 230 kV,230,2028-03-01,,2024-12-01,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2263,54785,Jackrabbit Power Bank,Storage/Battery,,,307.62,,,307.62,Santa Clara,CA,PG&E GBA,PGAE,LOS ESTEROS 115 kV,115,2029-06-01,,2024-11-20,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2294,55004,Lagoonez,Storage/Battery,,,1029.0,,,1029.0,Los Angeles,CA,SCE METRO,SCE,LAGUNA BELL 230 kV,230,2028-12-31,,2024-12-02,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2275,54938,Little Hill,Storage/Battery,,,63.14,,,63.14,San Bernardino,CA,SCE METRO,SCE,MIRA LOMA 230 kV,230,2031-04-01,,2024-11-21,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2320,54686,Lupine Energy Center,Storage/Battery,,,518.0683,,,518.0683,San Bernardino,CA,SCE METRO,SCE,LUGO 500 kV,500,2030-12-26,,2024-12-02,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2288,54567,Lycan Solar 2,Photovoltaic/Solar,,,192.2176,,,192.2176,Riverside,CA,SCE EASTERN,SCE,RED BLUFF 500 kV,500,2028-10-01,,2024-11-21,,Energy Only Requested,active,,,other,0,1
2356,54689,Maestro,Photovoltaic/Solar,Storage/Battery,,304.68,304.03,,608.71,Fresno,CA,PG&E FRESNO,PGAE,HARLAN SW STA 500 kV ,500,2029-12-01,,2024-12-02,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2360,54624,Maravillosa 1,Photovoltaic/Solar,Storage/Battery,,204.023804,202.615998,,406.63980200000003,Kings,CA,PG&E FRESNO,PGAE,DRY LAKE SW STA 500 kV ,500,2029-06-30,,2024-11-27,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2361,54625,Maravillosa 2,Photovoltaic/Solar,Storage/Battery,,407.2330048,404.6370076,,811.8700124,Kern,CA,PG&E FRESNO,PGAE,DRY LAKE SW STA 500 kV ,500,2029-06-30,,2024-11-27,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2366,55027,MATTERHORN,Wind Turbine/Wind,Storage/Battery,Photovoltaic/Solar,406.8,406.098,404.892,812.898,RIVERSIDE,CA,SCE EASTERN,SCE,DEVERS 500 kV,500,2029-12-15,,2024-11-21,,Energy Only Requested,active,,,other,0,1
2279,54952,Mesquite Solar 6,Storage/Battery,Photovoltaic/Solar,,154.5,154.48,,308.98,Maricopa,AZ,SAN DIEGO,SDGE,HASSAYAMPA 500 kV,500,2028-04-30,,2024-11-25,,Energy Only Requested,active,,,other,0,1
2362,54704,MidBishop,Storage/Battery,Photovoltaic/Solar,,74.2022619,307.779007,,381.9812689,Kings,CA,PG&E FRESNO,PGAE,DRY LAKE SW STA 500 kV ,500,2029-03-30,,2024-11-21,,Full Capacity Deliverability Status Requested,active,,,other,0,1
